fonte;http://geogeral.com/h/b7/cidbolsc.htm
fonteatualizada;Esta página foi atualizada em 28/08/17
Fonte;População Cálculo: World Gazetteer (2013). 
Fontes complementares: IBGE (2015); CIA - The World Factbook (2015); 
City Population; GeoHive (2015), Wikipédia (2015), dentre outras. 
Fontes das bandeiras; the flag research center, world flag database, world flags collection, multimediapalace, caccioppoli, vexilla mundi e wikipédia. Criação e Organização: Geografia na Internet: www.geogeral.com/
bandeiradepartamento;http://geogeral.com/i/m/s/bol-scruz.gif
Obs;Muncipio Com Asteristo (*) Capital do Departamento
Tres Cruces; [Santa Cruz] - Bolívia; Pop.: 1.558;
Trigal; [Santa Cruz] - Bolívia; Pop.: 806;
Urubichá; [Santa Cruz] - Bolívia; Pop.: 4.093;
Valle Grande (Vallegrande); [Santa Cruz] - Bolívia; Pop.: 9.733;
Valle Sánchez; [Santa Cruz] - Bolívia; Pop.: 3.899;
Valparaíso; [Santa Cruz] - Bolívia; Pop.: 819;
Victoria; [Santa Cruz] - Bolívia; Pop.: 1.184;
Villa Diego; [Santa Cruz] - Bolívia; Pop.: 730;
Villa Flor; [Santa Cruz] - Bolívia; Pop.: 1.085;
Villa Paraiso; [Santa Cruz] - Bolívia; Pop.: 1.705;
Villa Rosario; [Santa Cruz] - Bolívia; Pop.: 1.036;
Villa San Isidro Chore; [Santa Cruz] - Bolívia; Pop.: 916;
Villa Simón Bolívar; [Santa Cruz] - Bolívia; Pop.: 6.953;
Villa Viana; [Santa Cruz] - Bolívia; Pop.: 785;
Warnes; [Santa Cruz] - Bolívia; Pop.: 32.428;
Yacuses; [Santa Cruz] - Bolívia; Pop.: 982;
Yaguarú; [Santa Cruz] - Bolívia; Pop.: 2.966;
Yapacaní (Villa Germán Bush); [Santa Cruz] - Bolívia; Pop.: 27.609;
Yapiroá; [Santa Cruz] - Bolívia; Pop.: 874;
Yerba Buena Militar; [Santa Cruz] - Bolívia; Pop.: 1.162;
Yotaú; [Santa Cruz] - Bolívia; Pop.: 1.994;
Zanja Honda; [Santa Cruz] - Bolívia; Pop.: 792;
